fruits,Fruits & Vegetables
vegetables,Fruits & Vegetables
meat-poultry-seafood,"Meat, Seafood & Fresh"
breakfast-spreads,Bakery & Cereal Spreads
dairy-chilled-eggs,"Dairy, Chilled & Frozen"
snacks-confectioneries,Snacks & Drinks
beverages,Snacks & Drinks
alcohol,"Beers, Wines & Spirits"
rice-noodles-pasta,Food Pantry
cooking-baking-needs,Food Pantry
convenience-food-113,Ready Meals
frozen-goods,"Dairy, Chilled & Frozen"
dried-food-herbs,Food Pantry
mum-baby-kids,"Mum, Baby & Kids"
health-beauty,Health & Beauty
household,"Home, Kitchen & Cleaning"
lifestyle-outdoors,Lifestyle Outdoors
pet-care,Pet Care
carton-deals,Snacks & Drinks
